genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,17.8571,Right,DN,HD2,DJID_1970,300,24.8889,33.6666666666667,21.3333333333333,30,42,439,614,56.6666666666667,43,NaN,NaN
WT,Female,8.2857,Left,VN,HD2,DJID_1385,266.666666666667,0,1.66666666666667,0,50,542,245,111,12.3333333333333,22,NaN,NaN
WT,Female,8.2857,Left,VN,HD2,DJID_1385,158.024691358025,0,0.0246913580246914,0.0123456790123457,50,50,245,111,14.1604938271605,8.30864197530864,NaN,NaN
WT,Male,40.5714,Right,DN,HD2,DJID_66,200,0,1.66666666666667,1.66666666666667,30,30,224,160,15,34.6666666666667,NaN,NaN
WT,Male,29,Left,VN,HD2,DJID_1000,200,0,0,0.333333333333333,30,30,314,115,7.66666666666667,37,NaN,NaN
WT,Female,7.4286,Left,VT,HD2,DJID_1431,150,0,0,0,30,30,160,115,13.5,11,NaN,NaN
WT,Female,7.4286,Left,VT,HD2,DJID_1431,166.666666666667,0,0.333333333333333,0,30,30,224,82,12.3333333333333,10,NaN,NaN
WT,Female,46.7143,Left,VT,HD2,DJID_1723,200,0,0.333333333333333,0,30,30,224,115,10.6666666666667,25.3333333333333,NaN,NaN
WT,Male,49,Left,DN,HD2,DJID_1633,66.6666666666667,0,0,0,30,30,858,160,6,0.666666666666667,NaN,NaN
WT,Female,68.1429,Right,VN,HD2,DJID_1724,233.333333333333,0,0.666666666666667,0,30,30,160,115,11,24.6666666666667,NaN,NaN
WT,Female,68.4286,Right,DN,HD2,DJID_1726,200,0,0,0,30,30,160,115,24.3333333333333,67,NaN,NaN
WT,Male,12.5714,Left,VT,HD2,DJID_3059,266.666666666667,0,0,0,30,30,160,115,22,20.6666666666667,NaN,NaN
WT,Male,22.7143,Left,VN,HD2,DJID_3149,300,0,0,0,30,30,224,115,15,20.3333333333333,NaN,NaN
WT,Male,22.7143,Left,VN,HD2,DJID_3149,275,0,0,0,30,30,224,115,16.75,16.75,NaN,NaN
WT,Female,81.2857,Left,DN,HD2,DJID_2101,140,0.266667,0,0,30,30,115,115,12.5,10.3333333333333,NaN,NaN
WT,Female,81.2857,Right,DN,HD2,DJID_2101,300,0,0,0,30,30,115,115,16.3333333333333,33.6666666666667,NaN,NaN
WT,Female,81.2857,Right,DN,HD2,DJID_2101,300,0,5.33333333333333,0,30,30,115,115,18.6666666666667,53,NaN,NaN
WT,Female,81.2857,Right,DT,HD2,DJID_2101,200,0,0,0,30,30,115,30,8.33333333333333,0,NaN,NaN
WT,Female,28.5714,Right,VT,HD2,DJID_3081,200,0,0,0,30,30,115,160,14.6666666666667,12,NaN,NaN
