genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,47.8571,Right,VN,ON transient small RF,DJID_1503,200,29.1667,3.33333333333333,26.3333333333333,858,30,42,858,28.6666666666667,48.6666666666667,1538,NaN
WT,Male,47.8571,Right,VN,ON transient small RF,DJID_1503,133.333333333333,18.7222,6.66666666666667,15.3333333333333,224,42,115,858,19.3333333333333,27,295.111111111111,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,ON transient small RF,DJID_1581,366.666666666667,7.94444,6,0.333333333333333,30,314,115,59,35.6666666666667,7,NaN,NaN
Trarg1(Tusc5-eGFP/?),Male,26.2857,Left,DN,ON transient small RF,DJID_1581,366.666666666667,2.44444,1.33333333333333,0,30,30,160,439,34.3333333333333,0.666666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,ON transient small RF,DJID_1582,400,0,0.666666666666667,0,30,30,160,30,26.3333333333333,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,ON transient small RF,DJID_1583,400,0.333333,3,0,1200,42,160,30,26.6666666666667,0.333333333333333,1969.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,ON transient small RF,DJID_1589,466.666666666667,0,11,0,30,30,115,30,53.6666666666667,0,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,ON transient small RF,DJID_1589,433.333333333333,0.0555556,12,0,614,30,160,1200,38.6666666666667,0.333333333333333,1401.5,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,ON transient small RF,DJID_2009,300,1.05556,2,0,42,30,224,115,33.3333333333333,1.33333333333333,78,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,400,0,0,0,30,30,224,30,36.6666666666667,0,NaN,NaN
WT,Female,23.7143,Right,,ON transient small RF,DJID_873,333.333333333333,0,0.666666666666667,0,1200,30,224,30,30.6666666666667,0,1395,NaN
WT,Female,19.8571,Right,VN,ON transient small RF,DJID_780,300,0,0,0,30,30,160,30,23,0,NaN,NaN
WT,Female,7.4286,Left,DT,ON transient small RF,DJID_1431,400,0.944444,0.666666666666667,0,1200,30,160,439,38.3333333333333,1.66666666666667,1786,NaN
WT,Female,46.7143,Left,VT,ON transient small RF,DJID_1723,266.666666666667,0,0,0,30,30,1200,224,1.66666666666667,25,NaN,NaN
WT,Female,46.7143,Left,DN,ON transient small RF,DJID_1723,366.666666666667,0,0,0,30,30,858,160,5.33333333333333,48.6666666666667,NaN,NaN
WT,Male,49,Left,VT,ON transient small RF,DJID_1633,133.333333333333,0.0555556,0,0,30,30,160,314,4.66666666666667,6,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,ON transient small RF,DJID_1744,233.333333333333,0,0,0.666666666666667,30,439,1200,160,1,27.6666666666667,NaN,NaN
WT,Female,27.1429,Right,VT,ON transient small RF,DJID_2061,266.666666666667,0.611111,0.666666666666667,0,30,30,160,30,35,0,NaN,NaN
WT,Female,27.1429,Left,,ON transient small RF,DJID_2061,200,0,0,0,30,30,224,30,22,0,NaN,NaN
WT,Female,27.1429,Left,VN,ON transient small RF,DJID_2061,233.333333333333,6.66667,7.66666666666667,4.33333333333333,30,42,160,1200,60,14.3333333333333,NaN,NaN
WT,Male,66.4286,Left,DT,ON transient small RF,DJID_1614,0,0,0,0,30,30,30,30,0,0,NaN,NaN
WT,Male,37.4286,Right,DN,ON transient small RF,DJID_2927,233.333333333333,0,1,0.666666666666667,30,42,82,160,17.3333333333333,16.3333333333333,NaN,NaN
WT,Male,37.4286,Right,DN,ON transient small RF,DJID_2927,300,16.2778,21.3333333333333,5,1200,30,59,1200,57.6666666666667,22.3333333333333,1697.45454545455,NaN
WT,Female,68.1429,Right,VN,ON transient small RF,DJID_1724,266.666666666667,0,0,0,30,30,858,224,1.66666666666667,27.3333333333333,NaN,NaN
WT,Male,12.5714,Left,VT,ON transient small RF,DJID_3059,366.666666666667,0,0,0,30,30,115,1200,36.6666666666667,4,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,17.1429,Left,DN,ON transient small RF,DJID_3104,116.666666666667,0.138889,0.666666666666667,0,1200,42,82,439,12.1666666666667,1.5,2372,NaN
Trarg1(Tusc5-eGFP/WT),Female,78,Left,DN,ON transient small RF,DJID_2086,416.666666666667,3.33333,6.16666666666667,0,30,59,224,30,37.3333333333333,2.66666666666667,NaN,NaN
WT,Female,22.4286,Right,VN,ON transient small RF,DJID_3075,83.3333333333333,0.0277778,0,0,30,30,115,59,5.33333333333333,0.166666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,ON transient small RF,DJID_3052,300,0,0.333333333333333,0,858,30,42,30,19.6666666666667,0,919,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,ON transient small RF,DJID_3110,133.333333333333,0,0,0,30,30,243,1094,5,1.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,ON transient small RF,DJID_2787,200,0,0,0,30,30,314,224,13.6666666666667,0.333333333333333,NaN,NaN
WT,Male,22.7143,Left,VN,ON transient small RF,DJID_3149,366.666666666667,0.555556,0,0,30,30,160,30,27.6666666666667,0,NaN,NaN
WT,Female,81.2857,Left,DN,ON transient small RF,DJID_2101,316.666666666667,0.0833333,0.833333333333333,0,30,30,115,59,19.5,0.5,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,VT,ON transient small RF,DJID_3106,333.333333333333,0.0555556,0,0,30,30,224,439,28.6666666666667,1.33333333333333,NaN,NaN
WT,Male,23.4286,Left,DN,ON transient small RF,DJID_3275,433.333333333333,0.166667,5.66666666666667,0,160,30,42,858,27.6666666666667,1.66666666666667,175.068181818182,NaN
